Id;FrequencyOfIssuanceOfStatements;HasCreditCard;NumberOfInhabitantsInDistrict;NumberOfCitiesInDistrict;AverageSalaryInDistrict;NumberOfPermanentOrders;DebitedAmount;NumberOfCreditTransactions;NumberOfWithdrawalTransactions;ActualAccountBalance;LoanAmount;LoanDuration;LoanMonthlyPayments;Creditworthiness
6306;monthly;False;51313;4;8930;1;3057;150;281;27213,8;36684;12;3057;True
6272;weekly;False;323870;1;10673;1;6643,7;142;225;94872,8;398640;60;6644;True
5044;monthly;False;387570;1;9897;2;6422;128;271;56604,4;100980;60;1683;True
5576;monthly;False;1204953;1;12541;1;2604,5;164;238;32824,4;31248;12;2604;True
7192;weekly;True;77917;5;8390;3;11449,5;179;352;54987,6;115992;36;3222;True
5739;monthly;False;1204953;1;12541;4;12081;142;279;17077,6;76380;12;6365;True
6526;monthly;False;86513;5;8288;1;8013;161;225;33386,3;288468;36;8013;True
5624;monthly;True;161227;10;8678;1;3702,8;160;237;65363,9;177744;48;3703;False
6244;weekly;False;1204953;1;12541;1;7518;188;211;37872,2;270648;36;7518;False
5131;monthly;False;139012;10;8363;2;6539,7;183;303;100958,1;48624;24;2026;True
6960;monthly;False;1204953;1;12541;3;17868,3;189;325;111742,8;76416;24;3184;True
6358;weekly;False;78955;9;9060;1;2298,2;164;200;33024,2;137880;60;2298;False
5418;monthly;False;45714;6;8843;1;7248,8;169;216;125279,8;347952;48;7249;True
6598;monthly;False;138032;5;8819;4;15012;134;418;79128,3;68112;12;5676;True
5464;monthly;False;122603;8;8991;1;7984,3;182;224;79096,4;95808;12;7984;True
6591;monthly;False;85852;4;8965;5;6137;148;443;24062,7;20832;48;434;True
5724;monthly;False;1204953;1;12541;1;5269;158;256;-5637,4;316140;60;5269;False
6315;monthly;False;117897;6;8814;1;3597;121;224;58992,2;43164;12;3597;True
5876;weekly;False;323870;1;10673;2;12412;119;247;24178,7;221280;48;4610;True
6986;monthly;False;323870;1;10673;1;3160,7;201;183;109125,7;151728;48;3161;False
6294;monthly;True;170449;1;10787;3;7902;123;339;66200,6;79920;60;1332;True
5132;monthly;False;95616;6;9307;2;13580;115;246;43156,1;538500;60;8975;True
5877;monthly;False;122603;8;8991;3;11276;171;307;31528,3;97224;24;4051;True
6227;monthly;True;162580;6;9538;1;1177;132;221;75745,7;28248;24;1177;True
7241;monthly;False;1204953;1;12541;1;7040,7;236;237;108432;168984;24;7041;False
6737;monthly;False;228848;6;9893;3;15848;191;331;48172,1;76680;24;3195;True
7004;monthly;True;107870;6;8754;3;13911;132;333;85701,4;331560;60;5526;True
6169;monthly;False;95907;7;8388;1;1728;132;223;-4887,5;103680;60;1728;False
5208;monthly;False;88757;10;8554;1;2077;167;229;101402,9;99696;48;2077;False
6694;monthly;False;285387;7;10177;1;5616,2;196;207;121828;134784;24;5616;True
5599;monthly;False;128118;8;9317;3;7454;166;346;56126;15420;12;1285;True
6546;monthly;False;1204953;1;12541;2;7342;137;296;53220,9;31728;24;1322;True
5414;monthly;False;125236;5;9675;2;8498,7;128;208;20341,9;185952;48;3874;True
5453;monthly;False;72541;8;8594;2;8965;159;208;15261,4;156672;36;4352;True
5740;monthly;False;1204953;1;12541;2;4765;100;220;89291,8;18564;12;1547;True
5804;monthly;False;139012;10;8363;4;8860;181;379;29351,9;158976;48;3312;True
6745;monthly;True;197099;10;9624;2;10121,8;243;290;27993,3;47304;24;1971;True
6950;monthly;False;323870;1;10673;2;8508,7;161;265;5567,8;104712;24;4363;True
6996;monthly;False;75637;7;9622;1;5274,7;135;238;38073,3;126600;24;5275;True
5352;monthly;False;228848;6;9893;1;5700,3;98;145;51911,2;68400;12;5700;False
6151;monthly;False;117897;6;8814;1;3757;115;198;40557,8;225420;60;3757;True
5310;monthly;False;72541;8;8594;4;13070;128;362;29332,7;248148;36;6893;True
5045;monthly;False;114200;4;8403;1;7801,2;150;185;55760,8;187224;24;7801;False
6929;weekly;False;1204953;1;12541;2;8152;153;283;53902;36396;12;3033;True
5151;after transaction;True;149893;6;9753;2;9091;105;229;78486,1;189060;60;3151;True
5212;monthly;False;85852;4;8965;3;8602;117;292;38910,5;71064;36;1974;True
5138;monthly;False;145688;5;8544;4;6147;129;382;44584,1;87216;48;1817;True
5713;monthly;False;78955;9;9060;4;13649,5;153;366;27106,9;158760;60;2646;True
6704;monthly;False;45714;6;8843;3;13140,8;184;236;55522,9;417060;60;6951;True
6474;monthly;False;75685;9;8208;2;6450;154;247;22731,3;63360;60;1056;True
6676;monthly;False;170449;1;10787;3;5827;98;233;58866,4;29784;24;1241;True
6965;monthly;False;117897;6;8814;2;16534,5;180;273;38901,6;139536;24;5814;True
6725;monthly;False;51428;4;8402;2;11205;194;257;66028,4;265320;36;7370;True
7166;monthly;False;118650;3;9832;2;15563;132;172;36728,8;198240;24;8260;True
7138;monthly;False;226122;4;8994;3;5910;161;296;48985,6;60000;60;1000;True
5970;monthly;False;125832;5;8512;1;9689;128;264;81686,4;465072;48;9689;True
6157;after transaction;False;92084;5;10124;2;14638,3;109;201;42775,1;98592;24;4108;True
6153;weekly;False;95616;6;9307;1;4760;136;166;48404,8;285600;60;4760;True
5693;monthly;False;81344;6;8899;2;5210;99;201;46381,1;44088;24;1837;True
5922;monthly;True;81344;6;8899;2;10407,8;140;199;42498,3;20220;12;1685;True
5959;monthly;False;88884;5;8507;3;9926;99;238;74066,4;107640;24;4485;True
5980;monthly;False;58796;5;9045;1;1783,2;120;167;21600,7;21396;12;1783;True
6764;monthly;False;197099;10;9624;1;708;158;201;85738,5;33984;48;708;True
5237;monthly;False;51428;4;8402;2;7819;116;242;84826;45336;24;1889;True
6726;monthly;True;88884;5;8507;2;5834;183;239;79275,9;85860;60;1431;True
6933;monthly;False;197099;10;9624;2;10733,8;98;188;89702,6;188688;48;3931;True
5145;monthly;False;226122;4;8994;2;20740;101;208;81327,2;309552;48;6449;True
7008;monthly;False;1204953;1;12541;4;15812,5;117;251;45652,2;36168;12;3014;True
7227;weekly;False;105606;7;8254;2;15714;174;250;48417,2;314520;60;5242;True
6600;monthly;True;125236;5;9675;5;9564;94;320;90366,2;21852;36;607;True
6712;monthly;False;70646;4;8547;4;12286;172;360;42279,2;266220;60;4437;True
7057;weekly;False;1204953;1;12541;4;16611;112;341;55178,2;231696;36;6436;True
7176;monthly;True;75637;7;9622;3;21322,2;124;323;37967,4;260028;36;7223;True
7304;weekly;False;1204953;1;12541;2;17884;91;193;33977,9;419880;60;6998;True
6362;monthly;False;145688;5;8544;1;3159;109;171;46885,4;37908;12;3159;True
5880;monthly;True;119895;4;10446;3;7343;112;207;68846,2;73836;36;2051;True
6535;monthly;False;161854;6;9425;4;7603,8;107;313;17114,3;41952;12;3496;True
5449;monthly;False;228848;6;9893;2;8862;117;186;44533,1;99336;24;4139;True
6342;monthly;False;93931;8;8427;3;7176;89;189;99984;60156;36;1671;False
5409;monthly;True;51428;4;8402;1;3034;102;187;81658,7;182040;60;3034;True
6955;after transaction;False;114200;4;8403;1;5091,3;151;200;77031,5;244368;48;5091;True
6985;after transaction;False;387570;1;9897;3;9447,7;103;234;18842,3;113796;36;3161;True
5125;monthly;False;119895;4;10446;3;5316;100;194;20756,5;73056;48;1522;True
5805;monthly;False;75637;7;9622;1;5746;87;128;7056,3;137904;24;5746;False
6185;monthly;False;1204953;1;12541;3;9855;87;216;53225,4;31176;24;1299;True
7243;monthly;True;226122;4;8994;2;14467,8;96;210;45773,5;217152;36;6032;True
6403;monthly;True;323870;1;10673;2;8644,5;114;244;41267,3;194880;48;4060;True
6578;weekly;False;139012;10;8363;2;10549;128;192;54416,4;27984;12;2332;True
5413;weekly;True;51313;4;8930;2;17259,7;173;211;54972,6;92976;24;3874;True
6949;weekly;False;51313;4;8930;2;17748,7;175;210;66508,2;104712;24;4363;True
6545;monthly;False;103347;7;9104;3;13321,8;135;248;35493,8;191880;60;3198;True
6178;after transaction;False;323870;1;10673;1;4845;103;119;26154,3;232560;48;4845;True
5160;monthly;False;77917;5;8390;2;10485,5;106;208;56593,8;204000;60;3400;True
6785;weekly;False;1204953;1;12541;2;5801,8;199;248;64470,7;125340;60;2089;True
6540;weekly;False;226122;4;8994;1;6450,2;98;177;79314,2;309600;48;6450;True
6589;weekly;False;51428;4;8402;4;11843,8;118;290;23723,5;189696;24;7904;True
5900;monthly;True;102609;6;8187;1;2819,8;120;151;74433,6;135360;48;2820;True
5999;monthly;False;95907;7;8388;4;7575;122;342;68823,3;98832;48;2059;True
6043;monthly;False;109164;4;8757;2;4632;101;191;21359,9;20352;48;424;True
5482;monthly;False;121947;11;8541;2;7734;129;188;20778,7;165120;60;2752;True
7263;weekly;True;285387;7;10177;1;3744,7;131;184;56023;89880;24;3745;True
6013;weekly;False;70646;4;8547;1;3583;124;160;42395,6;128988;36;3583;False
5750;monthly;False;94725;6;9920;3;10371,7;119;312;39897,5;63252;12;5271;True
6027;weekly;False;53921;2;8598;5;9207,8;85;242;59671,2;61656;24;2569;False
6303;after transaction;False;51313;4;8930;4;17875,7;93;181;13393,2;72408;24;3017;False
7213;monthly;False;114200;4;8403;3;8888;117;225;83328,6;113544;36;3154;True
6659;monthly;False;387570;1;9897;2;7151;99;170;13814;56100;60;935;True
6175;monthly;False;139012;10;8363;1;4845;125;170;89024,8;290700;60;4845;False
5610;monthly;True;85852;4;8965;3;5619,3;144;285;77827,5;123216;48;2567;True
5563;monthly;True;323870;1;10673;1;6336;156;188;58694,2;380160;60;6336;True
5989;monthly;False;162580;6;9538;2;10719;125;150;22870,2;213300;36;5925;True
6698;weekly;True;1204953;1;12541;3;11804,2;140;190;29682,9;247728;48;5161;True
5312;weekly;False;51313;4;8930;2;17627;99;203;76546,3;202788;36;5633;True
7189;monthly;False;161227;10;8678;2;7088,5;112;199;26893,3;154656;48;3222;True
6816;monthly;False;285387;7;10177;1;2088;152;115;21412,9;100224;48;2088;False
6137;weekly;False;53921;2;8598;2;15597;108;254;57219,8;44628;12;3719;True
5128;monthly;False;42821;3;8173;1;4492;128;158;29996,7;215616;48;4492;False
5470;monthly;False;114200;4;8403;2;13741,3;98;147;43892,1;200976;48;4187;True
5593;monthly;False;105606;7;8254;1;7718,7;103;160;6027,1;277884;36;7719;False
5350;weekly;False;170449;1;10787;2;19358;121;172;27814;249312;48;5194;True
6063;monthly;True;1204953;1;12541;1;6687;123;154;88780,5;320976;48;6687;False
6501;monthly;False;103347;7;9104;1;2523,2;194;180;16648;30276;12;2523;False
5452;monthly;False;285387;7;10177;4;6443;98;302;63982,3;49440;60;824;True
4961;monthly;False;103347;7;9104;1;2523,2;152;148;10840,1;30276;12;2523;False
4973;monthly;False;93931;8;8427;3;13753;102;260;39709,5;165960;24;6915;True
6190;monthly;False;285387;7;10177;1;2060;91;130;67017,6;123600;60;2060;True
6715;monthly;False;70646;4;8547;3;12996,3;150;241;32572,6;220620;60;3677;True
5892;weekly;False;182027;7;8746;1;2770,3;84;103;23778,7;66480;24;2770;False
6550;monthly;True;145688;5;8544;1;6678,7;93;176;56197,3;320592;48;6679;True
5706;weekly;False;226122;4;8994;2;7610;125;214;39044,7;161496;36;4486;True
5148;monthly;True;114006;9;9065;1;4738;106;169;109138,5;284280;60;4738;True
6734;weekly;True;177686;9;10045;1;4806,5;160;157;31294,5;173016;36;4806;True
6109;monthly;False;125832;5;8512;4;10735;140;321;36830,3;368880;60;6148;True
6961;monthly;False;85852;4;8965;2;10076;72;149;26525,3;176148;36;4893;True
6810;weekly;False;128118;8;9317;2;8424;192;221;77150,7;186384;48;3883;True
5494;after transaction;False;197099;10;9624;1;7500;152;193;91529,7;360000;48;7500;True
5311;monthly;True;72541;8;8594;5;7336;107;376;45731,1;30060;60;501;True
5445;monthly;False;133777;11;8705;5;8610;116;337;16987,7;46320;24;1930;True
5301;monthly;True;228848;6;9893;2;13585;69;144;54674,1;141948;36;3943;True
7034;monthly;False;122603;8;8991;1;529;88;160;78919,8;19044;36;529;True
6751;monthly;False;74062;7;8114;3;14545,2;112;138;23169,6;85716;36;2381;True
6667;monthly;True;114006;9;9065;2;14799,8;148;223;106119,3;155880;24;6495;True
6130;monthly;False;161854;6;9425;3;4442;119;224;65176,8;32640;48;680;True
5429;monthly;False;1204953;1;12541;2;6303;93;193;74334,4;20196;36;561;True
5725;monthly;False;197099;10;9624;3;18285;110;189;43773,1;444864;48;9268;True
6019;monthly;False;387570;1;9897;4;5720;97;224;41097,4;11400;12;950;True
6421;monthly;False;85852;4;8965;2;15854,5;109;169;64959;96768;36;2688;True
6992;monthly;True;139012;10;8363;4;15482;115;234;64329,5;133968;48;2791;True
5136;monthly;True;226122;4;8994;1;7795,5;98;116;114007,2;187104;24;7796;True
5337;monthly;False;105058;10;9272;2;8710,7;69;131;49269,6;162468;36;4513;True
5495;monthly;False;110643;4;8441;2;6505;92;157;65427,5;89340;60;1489;True
7013;monthly;False;110643;4;8441;2;6505;92;157;66212,2;89340;60;1489;True
6012;weekly;False;1204953;1;12541;1;7178,8;86;101;32733,6;258444;36;7179;True
6471;monthly;False;95616;6;9307;5;12765;85;285;52849,7;155640;24;6485;True
6296;monthly;False;75232;5;8980;2;18708,8;92;176;36829,3;270384;48;5633;True
7305;monthly;True;117897;6;8814;3;9274,3;104;271;75200,4;54024;12;4502;True
6144;monthly;True;58796;5;9045;2;9746,8;108;162;62671,2;44376;12;3698;True
6283;monthly;False;197099;10;9624;1;1784,5;117;149;73347,3;85632;48;1784;True
7246;weekly;False;108871;6;8444;2;13988;101;118;53050,4;148920;60;2482;True
5088;monthly;True;105058;10;9272;1;3798,2;99;129;111235,6;91152;24;3798;True
5988;monthly;False;139012;10;8363;2;10187,2;94;134;98264,4;141648;24;5902;True
5282;after transaction;False;42821;3;8173;1;8094,2;141;173;67094,7;388512;48;8094;False
5938;monthly;False;149893;6;9753;3;10082;114;155;42051,6;402000;60;6700;True
5606;weekly;False;108871;6;8444;1;7042;79;112;69241,4;253512;36;7042;False
5385;monthly;True;1204953;1;12541;2;9249;72;156;29590,9;71460;36;1985;True
6865;monthly;False;226122;4;8994;1;2454,5;97;108;8399,6;29448;12;2454;False
5586;monthly;True;148545;4;8909;2;4571;67;145;38418;48744;36;1354;True
6302;monthly;False;78955;9;9060;1;3016,7;97;150;70147,4;181020;60;3017;True
7194;monthly;False;1204953;1;12541;2;7347;80;165;50909,7;68832;36;1912;True
6461;weekly;False;107870;6;8754;4;5921;102;258;30364;74124;36;2059;True
6732;monthly;True;162580;6;9538;1;3626;136;136;41303,7;174048;48;3626;True
6613;weekly;False;42821;3;8173;1;3505;81;110;69131,3;84120;24;3505;True
7036;monthly;False;112065;8;11277;1;5415;99;136;21665,5;194940;36;5415;True
5897;monthly;False;122603;8;8991;4;7843;103;303;24909,2;15192;24;633;True
6995;weekly;True;197099;10;9624;1;8013,7;220;161;81129,8;96168;12;8014;True
5415;monthly;False;182027;7;8746;1;3873,7;68;99;-1438,6;139464;36;3874;False
7136;monthly;False;110643;4;8441;1;1511;76;113;85104,2;54396;36;1511;True
7271;monthly;True;107870;6;8754;2;16351,2;106;224;84779,6;392460;60;6541;True
5375;monthly;False;1204953;1;12541;2;11928;72;113;26879,5;101520;12;8460;True
5635;monthly;False;1204953;1;12541;1;2144;104;143;107612,1;77184;36;2144;True
6817;monthly;False;1204953;1;12541;2;7742;110;153;37016;70656;48;1472;True
5923;monthly;True;67298;7;8561;2;5412;64;130;52116,8;64656;48;1347;True
5329;weekly;True;51428;4;8402;1;6601,7;94;146;75553,3;396120;60;6602;True
6644;monthly;True;81344;6;8899;4;8815,5;84;203;64749,6;93600;24;3900;True
6354;monthly;False;93931;8;8427;4;4243;73;176;49966,4;22968;36;638;True
5082;monthly;False;53921;2;8598;1;4382,7;95;128;81774,5;262980;60;4383;True
6585;monthly;True;197099;10;9624;1;6202;142;196;73183,4;372120;60;6202;True
6921;monthly;True;285387;7;10177;3;10425,5;71;177;39605,7;86184;12;7182;True
5366;monthly;True;285387;7;10177;3;10425,5;71;177;35804,7;86184;12;7182;True
5886;monthly;False;145688;5;8544;1;5353,5;70;109;69375,9;192744;36;5354;True
5741;weekly;False;114006;9;9065;5;9829;72;227;77383,8;68544;24;2856;True
4996;after transaction;True;128118;8;9317;1;7370,2;79;104;34556,6;88440;12;7370;True
6015;monthly;False;107911;7;8240;2;13880,5;96;148;16017,3;110112;24;4588;True
6309;monthly;False;1204953;1;12541;2;9480,2;88;151;38708,1;110136;24;4589;True
6073;monthly;False;197099;10;9624;2;8555;121;152;66574;276300;60;4605;True
6006;monthly;False;161854;6;9425;2;10706,2;88;144;62313,3;359760;60;5996;True
5611;monthly;False;177686;9;10045;2;20076,3;71;126;21995,1;321180;60;5353;True
6944;monthly;False;145688;5;8544;2;10575;64;118;91829,1;46176;48;962;True
7101;monthly;True;177686;9;10045;2;18673;91;137;77686,6;421008;48;8771;True
6599;monthly;True;139012;10;8363;1;6010,2;92;150;124542,5;72120;12;6010;True
6940;monthly;False;1204953;1;12541;1;6341;66;101;36343,2;228276;36;6341;True
5209;monthly;False;145688;5;8544;3;13935,2;68;151;17649,1;182640;48;3805;True
5388;weekly;True;51313;4;8930;4;19392,5;73;196;64031,2;61560;12;5130;True
6011;monthly;False;387570;1;9897;2;8666;72;155;15770,4;179328;48;3736;True
5591;monthly;False;92084;5;10124;1;3241,8;67;99;20170,3;155616;48;3242;True
7154;after transaction;True;157042;9;8743;1;6959,8;84;108;28240,1;417600;60;6960;True
7130;after transaction;True;119895;4;10446;5;20024;100;214;62005;123408;24;5142;True
6818;monthly;False;226122;4;8994;3;6660;144;240;58224,7;155616;48;3242;True
5625;monthly;False;45714;6;8843;1;3702,8;79;107;17262,3;222180;60;3703;False
6805;monthly;False;285387;7;10177;3;7713;94;153;29485,9;45024;48;938;True
